batter_pcode,batter_name,pa_count,hits,on_base,runs_scored,strikeouts,avg,obp,k_rate
69737,노시환,52,18,25,13,8,0.346,0.481,15.4
72443,최형우,49,13,20,8,5,0.265,0.408,10.2
79608,안치홍,47,13,14,5,7,0.277,0.298,14.9
64646,박찬호,45,16,19,3,5,0.356,0.422,11.1
78548,장성우,44,13,17,7,7,0.295,0.386,15.9
78513,전준우,44,14,14,3,5,0.318,0.318,11.4
62947,나성범,43,13,19,2,5,0.302,0.442,11.6
68050,강백호,41,6,8,3,10,0.146,0.195,24.4
78603,김선빈,40,11,11,3,1,0.275,0.275,2.5
62895,한유섬,39,12,18,10,10,0.308,0.462,25.6
79365,박동원,38,16,20,10,3,0.421,0.526,7.9
64166,배정대,37,10,13,4,8,0.27,0.351,21.6
50854,최지훈,36,14,15,1,1,0.389,0.417,2.8
65357,송성문,36,11,14,5,3,0.306,0.389,8.3
52630,소크라테스,35,4,5,2,4,0.114,0.143,11.4
67304,김혜성,34,9,11,3,1,0.265,0.324,2.9
67893,박성한,33,7,9,2,2,0.212,0.273,6.1
76290,김현수,33,11,12,5,3,0.333,0.364,9.1
76232,양의지,33,7,10,6,2,0.212,0.303,6.1
69517,고승민,33,9,14,3,4,0.273,0.424,12.1
64004,김민혁,33,13,15,5,4,0.394,0.455,12.1
76313,황재균,31,9,10,4,11,0.29,0.323,35.5
68743,정은원,31,5,6,2,2,0.161,0.194,6.5
66704,김태연,30,6,9,3,3,0.2,0.3,10.0
62234,류지혁,30,5,10,3,2,0.167,0.333,6.7
77532,손아섭,30,9,11,4,4,0.3,0.367,13.3
78288,최재훈,30,7,8,3,1,0.233,0.267,3.3
79192,채은성,30,11,15,7,3,0.367,0.5,10.0
76267,최주환,29,8,12,3,1,0.276,0.414,3.4
75847,최정,28,9,13,4,3,0.321,0.464,10.7
51344,김휘집,28,5,8,1,5,0.179,0.286,17.9
66606,최원준,28,8,8,2,2,0.286,0.286,7.1
79456,이지영,26,10,12,1,1,0.385,0.462,3.8
62802,박승욱,26,7,8,1,6,0.269,0.308,23.1
62864,김민식,26,6,7,4,1,0.231,0.269,3.8
62907,박민우,25,8,8,2,3,0.32,0.32,12.0
51907,김주원,25,5,7,4,7,0.2,0.28,28.0
79109,오지환,25,4,6,1,5,0.16,0.24,20.0
62931,노진혁,24,10,11,5,3,0.417,0.458,12.5
64560,이창진,24,5,6,4,6,0.208,0.25,25.0
75125,박병호,24,4,7,2,8,0.167,0.292,33.3
79402,김상수,24,4,5,1,1,0.167,0.208,4.2
62700,하주석,24,8,10,1,8,0.333,0.417,33.3
79240,허경민,24,5,6,3,3,0.208,0.25,12.5
66108,홍창기,24,5,5,1,4,0.208,0.208,16.7
79231,정수빈,24,7,7,1,1,0.292,0.292,4.2
66715,김인환,24,5,9,2,6,0.208,0.375,25.0
64006,심우준,24,7,7,0,5,0.292,0.292,20.8
71564,이대호,23,3,3,2,2,0.13,0.13,8.7
69102,문보경,23,3,5,4,11,0.13,0.217,47.8
65610,황대인,23,4,5,1,5,0.174,0.217,21.7
53827,에레디아,22,8,9,0,3,0.364,0.409,13.6
52009,알포드,22,6,7,0,4,0.273,0.318,18.2
78224,김재환,22,6,7,5,5,0.273,0.318,22.7
79215,박건우,22,10,11,2,0,0.455,0.5,0.0
64153,양석환,21,5,5,2,5,0.238,0.238,23.8
52591,윤동희,21,10,11,3,0,0.476,0.524,0.0
60523,정훈,21,2,2,0,6,0.095,0.095,28.6
62415,박해민,20,7,7,0,5,0.35,0.35,25.0
68525,한동희,20,2,4,0,5,0.1,0.2,25.0
67341,이정후,20,5,9,4,0,0.25,0.45,0.0
78122,김태군,20,6,6,1,0,0.3,0.3,0.0
66657,이진영,20,1,2,1,3,0.05,0.1,15.0
50167,이주형,19,3,7,2,1,0.158,0.368,5.3
52605,김도영,19,6,10,2,4,0.316,0.526,21.1
53764,문현빈,19,3,4,1,2,0.158,0.211,10.5
76849,이명기,18,4,6,1,1,0.222,0.333,5.6
64504,오윤석,18,3,6,2,3,0.167,0.333,16.7
61353,고종욱,18,6,6,0,3,0.333,0.333,16.7
64868,조용호,18,5,6,0,2,0.278,0.333,11.1
51817,추신수,18,3,5,1,3,0.167,0.278,16.7
54529,레이예스,18,8,10,5,1,0.444,0.556,5.6
54795,황영묵,18,4,4,1,1,0.222,0.222,5.6
51868,고명준,17,5,5,5,5,0.294,0.294,29.4
65703,이도윤,17,2,4,0,3,0.118,0.235,17.6
65207,신민재,17,5,5,1,1,0.294,0.294,5.9
68518,정보근,17,1,1,0,1,0.059,0.059,5.9
67025,로하스,16,3,5,1,1,0.188,0.312,6.2
53554,김민석,16,1,1,0,3,0.062,0.062,18.8
50500,황성빈,16,3,4,0,3,0.188,0.25,18.8
63260,이우성,15,2,3,1,5,0.133,0.2,33.3
68904,오영수,15,5,6,2,1,0.333,0.4,6.7
61102,유강남,15,3,4,1,1,0.2,0.267,6.7
52547,렉스,15,4,5,5,0,0.267,0.333,0.0
53123,오스틴,15,6,8,2,2,0.4,0.533,13.3
74163,이용규,14,3,5,0,2,0.214,0.357,14.3
78135,이형종,14,4,5,0,4,0.286,0.357,28.6
65898,김웅빈,14,1,1,0,7,0.071,0.071,50.0
68700,이원석,14,1,2,0,3,0.071,0.143,21.4
63920,김준완,14,3,4,1,2,0.214,0.286,14.3
67207,이유찬,13,4,4,1,3,0.308,0.308,23.1
52712,터크먼,13,3,4,0,3,0.231,0.308,23.1
68119,문성주,13,1,2,2,3,0.077,0.154,23.1
54812,정준재,13,1,2,0,1,0.077,0.154,7.7
69636,오선우,12,2,2,0,7,0.167,0.167,58.3
50923,알테어,12,5,7,0,3,0.417,0.583,25.0
53327,도슨,12,4,5,3,3,0.333,0.417,25.0
63257,김인태,12,3,4,0,2,0.25,0.333,16.7
63963,권희동,12,1,1,1,1,0.083,0.083,8.3
76802,김성현,12,4,4,4,0,0.333,0.333,0.0
68346,김수환,12,1,1,1,6,0.083,0.083,50.0
67644,이정훈,11,2,2,0,3,0.182,0.182,27.3
77564,김민성,11,4,4,1,1,0.364,0.364,9.1
63123,강승호,11,0,3,0,4,0.0,0.273,36.4
60558,오태곤,11,0,1,0,1,0.0,0.091,9.1
76812,이재원,11,1,2,1,1,0.091,0.182,9.1
52001,안현민,11,3,4,2,1,0.273,0.364,9.1
69453,이학주,10,4,5,2,1,0.4,0.5,10.0
67872,로맥,10,0,1,0,3,0.0,0.1,30.0
68106,이재원,10,1,2,1,4,0.1,0.2,40.0
62556,신본기,10,1,2,0,2,0.1,0.2,20.0
51551,나승엽,10,2,3,3,1,0.2,0.3,10.0
68912,김형준,10,2,2,3,1,0.2,0.2,10.0
50506,마차도,10,2,2,1,2,0.2,0.2,20.0
50150,손호영,10,3,3,2,0,0.3,0.3,0.0
