pitch_type,avg_x,std_x,avg_z,std_z,count,batter_stand
슬라이더,0.6076,0.6687,1.9146,0.9598,1631,우타자
슬라이더,0.3251,0.6642,2.4611,0.9871,1177,좌타자
직구,0.0994,0.7933,2.63,0.8283,2836,우타자
직구,-0.1452,0.7753,2.6912,0.8233,2512,좌타자
체인지업,-0.1808,0.675,1.8025,0.9573,1174,우타자
체인지업,-0.4325,0.6243,1.7658,0.9287,1783,좌타자
커브,0.3369,0.6784,2.1592,1.1547,402,우타자
커브,0.1708,0.6408,2.2724,1.2001,228,좌타자
커터,0.4798,0.8899,1.9739,1.08,73,우타자
커터,0.2808,0.6711,2.6243,0.8421,272,좌타자
투심,-1.0727,0.4271,2.631,0.8344,12,우타자
투심,-0.976,0.5689,2.8113,0.9362,6,좌타자
